Day,Predicted_CII,Relative_Rating,Optimization_Suggestions
2024-04-27,18.33017396577137,A,Performance is within expected range
2024-04-28,19.293969760271867,B,Maintain optimal cruising speed
2024-04-29,19.702020613139446,B,Maintain optimal cruising speed
2024-04-30,20.749062259752534,D,Maintain optimal cruising speed
2024-05-01,19.454533718533725,B,Performance is within expected range
2024-05-02,19.05573492515183,A,Performance is within expected range
2024-05-03,20.699896317580944,C,Maintain optimal cruising speed
2024-05-04,17.6853182543108,A,Performance is within expected range
2024-05-05,19.84359952516745,C,Maintain optimal cruising speed
2024-05-06,19.564495865769388,B,Maintain optimal cruising speed
2024-05-07,20.868932905051707,D,Maintain optimal cruising speed
2024-05-08,20.287497511523636,C,Performance is within expected range
2024-05-09,19.575257721618886,B,Performance is within expected range
2024-05-10,20.058561792227753,C,Maintain optimal cruising speed
2024-05-11,18.483494400993894,A,Performance is within expected range
2024-05-12,19.15904192925727,A,Maintain optimal cruising speed
2024-05-13,20.49332478211356,C,Maintain optimal cruising speed
2024-05-14,22.569122671188925,E,Maintain optimal cruising speed
2024-05-15,22.192995726590055,E,Performance is within expected range
2024-05-16,19.804313894380037,B,Maintain optimal cruising speed
2024-05-17,22.55453481143693,E,Reduce trim to improve fuel efficiency; Maintain optimal cruising speed
2024-05-18,21.78509025956298,D,Performance is within expected range
2024-05-19,19.065922097536724,A,Reduce trim to improve fuel efficiency; Maintain optimal cruising speed
2024-05-20,19.594673015590192,B,Reduce trim to improve fuel efficiency; Maintain optimal cruising speed
2024-05-21,21.258369401510244,D,Maintain optimal cruising speed
2024-05-22,22.01966121728362,D,Performance is within expected range
2024-05-23,19.9880258297486,C,Performance is within expected range
2024-05-24,19.98204843207445,C,Maintain optimal cruising speed
2024-05-25,18.01574916204342,A,Performance is within expected range
2024-05-26,19.28619260974032,B,Maintain optimal cruising speed
2024-05-27,19.323137505040116,B,Maintain optimal cruising speed
2024-05-28,22.817725198697723,E,Avoid sailing during high wind; Maintain optimal cruising speed
2024-05-29,21.57737822090063,D,Performance is within expected range
2024-05-30,20.342035815488195,C,Performance is within expected range
2024-05-31,21.014568447734874,D,Performance is within expected range
2024-06-01,18.364234668990104,A,Performance is within expected range
2024-06-02,19.31810514844559,B,Maintain optimal cruising speed
2024-06-03,19.50510930006812,B,Maintain optimal cruising speed
2024-06-04,22.436938869380608,E,Maintain optimal cruising speed
2024-06-05,24.54116439633388,E,Performance is within expected range
